student_id,course_id,chapter_id,chapter_order,time_spent_minutes,score,completed
1,4,1,1,41.1,82.2,1
1,4,2,2,34.4,68.5,1
1,4,3,3,25.6,56.6,1
1,4,4,4,22.1,36.1,0
2,4,1,1,5.0,22.9,0
3,4,1,1,27.9,34.0,0
4,4,1,1,27.0,40.8,1
4,4,2,2,20.2,39.1,1
4,4,3,3,16.0,36.2,0
5,3,1,1,41.4,44.4,1
5,3,2,2,52.9,68.6,1
5,3,3,3,33.3,51.0,0
6,4,1,1,9.1,14.1,0
7,5,1,1,26.7,49.7,1
7,5,2,2,18.7,36.9,0
8,1,1,1,35.3,64.2,1
8,1,2,2,22.1,45.8,1
8,1,3,3,15.7,54.5,0
9,5,1,1,35.9,55.3,1
9,5,2,2,29.5,40.8,1
9,5,3,3,33.4,45.6,1
9,5,4,4,7.5,44.5,0
10,5,1,1,15.9,34.1,1
10,5,2,2,11.8,28.1,1
10,5,3,3,8.5,24.1,1
10,5,4,4,16.5,24.2,1
10,5,5,5,6.5,21.5,0
11,4,1,1,42.5,57.4,1
11,4,2,2,23.7,46.8,1
11,4,3,3,34.1,42.5,1
11,4,4,4,23.0,38.2,0
12,5,1,1,22.2,41.5,1
12,5,2,2,28.1,31.5,0
13,1,1,1,21.1,23.7,1
13,1,2,2,14.2,27.4,0
14,1,1,1,17.0,22.5,1
14,1,2,2,18.6,20.6,1
14,1,3,3,16.8,19.8,0
15,4,1,1,47.3,58.1,1
15,4,2,2,33.2,42.9,1
15,4,3,3,26.6,61.4,1
15,4,4,4,32.2,52.1,1
15,4,5,5,25.5,19.0,1
15,4,6,6,25.5,41.1,0
16,2,1,1,22.2,34.3,1
16,2,2,2,9.6,29.1,0
17,4,1,1,24.4,46.0,1
17,4,2,2,27.7,44.4,1
17,4,3,3,25.5,34.5,1
17,4,4,4,22.4,44.6,1
17,4,5,5,12.1,21.6,0
18,3,1,1,32.8,38.6,0
19,5,1,1,20.8,23.0,1
19,5,2,2,15.7,14.8,1
19,5,3,3,8.6,25.8,1
19,5,4,4,11.3,21.6,1
